Playlist Name,Video Name,Video URL,Duration,Preview Image
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 19 (Anime & Music Name Included),https://www.youtube.com/watch?v=x1y8u8C0wyc,PT8M5S,https://i.ytimg.com/vi/x1y8u8C0wyc/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 20 (Anime & Music Name Included),https://www.youtube.com/watch?v=1AIZNGbNW8M,PT8M52S,https://i.ytimg.com/vi/1AIZNGbNW8M/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 21 (Anime & Music Name Included),https://www.youtube.com/watch?v=S1-Bf_M7SZk,PT10M26S,https://i.ytimg.com/vi/S1-Bf_M7SZk/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 22 (Anime & Music Name Included),https://www.youtube.com/watch?v=6DE6slU-DpE,PT8M58S,https://i.ytimg.com/vi/6DE6slU-DpE/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 23 (Anime & Music Name Included),https://www.youtube.com/watch?v=TUWHF4Czg74,PT7M12S,https://i.ytimg.com/vi/TUWHF4Czg74/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 24 (Anime & Music Name Included),https://www.youtube.com/watch?v=oDaZ6_w7b9w,PT7M48S,https://i.ytimg.com/vi/oDaZ6_w7b9w/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 25 (Anime & Music Name Included),https://www.youtube.com/watch?v=trqkkdq6xgE,PT8M1S,https://i.ytimg.com/vi/trqkkdq6xgE/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 26 (Anime & Music Name Included),https://www.youtube.com/watch?v=Y5RiTA0uyb4,PT8M56S,https://i.ytimg.com/vi/Y5RiTA0uyb4/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 27 (Anime & Music Name Included),https://www.youtube.com/watch?v=YfxedmAM4mE,PT8M38S,https://i.ytimg.com/vi/YfxedmAM4mE/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 28 (Anime & Music Name Included),https://www.youtube.com/watch?v=bTkvwqyK1Ps,PT8M23S,https://i.ytimg.com/vi/bTkvwqyK1Ps/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 29 (Anime & Music Name Included),https://www.youtube.com/watch?v=FRk14YVDCwE,PT9M28S,https://i.ytimg.com/vi/FRk14YVDCwE/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 30 (Anime & Music Name Included),https://www.youtube.com/watch?v=CwRxsA44cSs,PT7M59S,https://i.ytimg.com/vi/CwRxsA44cSs/hqdefault.jpg
